stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type
603518.SH,2024-12-09,11,0.8825155088603098,8.551068883610435,54.54545454545454,83.64007256537617,6.951219512195106,-5.214368482039388,3.628020324935494,中证现金流,932365.CSI,2024-12-09,effective_date
300650.SZ,2024-12-09,11,-0.44698470597537954,-4.514154552410099,27.27272727272727,-49.54448639531689,3.4220532319391817,-2.494154325798914,1.7612111210295016,中证现金流,932365.CSI,2024-12-09,effective_date
600858.SH,2024-12-09,11,1.5315080341755158,15.873015873015884,54.54545454545454,91.27039401148546,6.531204644412192,-1.8732970027248053,3.2867167951060603,中证现金流,932365.CSI,2024-12-09,effective_date
003023.SZ,2024-12-09,11,0.21043518859032767,1.8442622950819665,27.27272727272727,-25.175386519277886,6.208651399491116,-2.4307243558580494,2.504190416108984,中证现金流,932365.CSI,2024-12-09,effective_date
002321.SZ,2025-04-30,8,-0.030581925724621723,-0.4166666666666541,37.5,94.31737774190012,4.824561403508776,-3.41880341880344,2.617175456608989,中证畜牧,930707.CSI,2025-06-16,cutoff_date
603718.SH,2025-04-30,8,-0.15642417105142328,-1.1608334784375174,50.0,48.820546095337924,1.6316601400261144,-2.927571871889456,1.539111803215752,中证畜牧,930707.CSI,2025-06-16,cutoff_date
002688.SZ,2025-04-30,8,0.3176942504310474,1.9480519480519654,50.0,2.8514826679169047,4.707792207792227,-3.6334913112164413,3.126202856873823,中证畜牧,930707.CSI,2025-06-16,cutoff_date
300967.SZ,2025-04-30,8,-0.19831998830319877,-1.4492753623188692,25.0,19.65690446608992,2.8556034482758896,-2.0526315789473726,1.5348630184123584,中证畜牧,930707.CSI,2025-06-16,cutoff_date
301156.SZ,2025-04-30,8,-0.10030148491925342,-0.8432539682539764,37.5,44.34403814970111,4.00421496311909,-2.430555555555547,2.2036827044216674,中证畜牧,930707.CSI,2025-06-16,cutoff_date
002321.SZ,2025-06-16,11,-0.03313517056310333,-0.4310344827586299,18.181818181818183,-51.046430973737934,3.0042918454935563,-2.5316455696202556,1.4982786405124067,中证畜牧,930707.CSI,2025-06-16,effective_date
603718.SH,2025-06-16,11,0.03799147080739029,0.2727917507774569,36.36363636363637,-49.940646882294104,3.5175063585692,-1.8687596775054605,1.5530027171521363,中证畜牧,930707.CSI,2025-06-16,effective_date
002688.SZ,2025-06-16,11,-0.21549955634158063,-2.3622047244094557,36.36363636363637,-59.961250894478454,4.724409448818889,-3.0120481927710885,2.287397846991274,中证畜牧,930707.CSI,2025-06-16,effective_date
300967.SZ,2025-06-16,11,-0.758342905265168,-7.629288274449553,27.27272727272727,-62.69096203741222,4.066265060240948,-3.627504060638864,2.6700035889394886,中证畜牧,930707.CSI,2025-06-16,effective_date
301156.SZ,2025-06-16,11,-0.5736138221976741,-6.192893401015221,36.36363636363637,-64.82392404613178,5.749385749385749,-5.807437595517051,3.759133433707317,中证畜牧,930707.CSI,2025-06-16,effective_date
600299.SH,2024-10-31,11,0.1061426381317232,0.8635578583764847,54.54545454545454,-1.4245423537603163,3.835616438356171,-4.070796460176984,2.1115027349933553,中证畜牧,930707.CSI,2024-12-16,cutoff_date
605296.SH,2024-10-31,11,1.202329867136539,12.129760225669939,72.72727272727273,4.6075376208813745,7.083747103608085,-4.716379859783304,3.375587715058694,中证畜牧,930707.CSI,2024-12-16,cutoff_date
002562.SZ,2024-10-31,11,0.8681428983711538,7.572383073496658,54.54545454545454,-22.965886233341635,10.022271714922049,-8.23754789272032,5.487319443523202,中证畜牧,930707.CSI,2024-12-16,cutoff_date
300381.SZ,2024-10-31,11,0.0688287738862337,0.5228758169934622,45.45454545454545,-36.24707383832898,2.614379084967333,-2.7166882276843496,1.9229315265204923,中证畜牧,930707.CSI,2024-12-16,cutoff_date
603739.SH,2024-10-31,11,1.259561640864727,12.471994025392075,63.63636363636363,-15.137016932424508,6.364301389904892,-8.041958041958042,4.110469581920077,中证畜牧,930707.CSI,2024-12-16,cutoff_date
002982.SZ,2024-10-31,11,1.37026153375006,13.646659116647752,63.63636363636363,-0.14723401964017446,10.153677277716788,-4.989154013015195,4.343361533852398,中证畜牧,930707.CSI,2024-12-16,cutoff_date
600299.SH,2024-12-16,11,-0.051731353981167016,-0.5469462169553352,36.36363636363637,-18.056506248244887,1.3774104683195842,-1.2477718360071166,0.8304564576985503,中证畜牧,930707.CSI,2024-12-16,effective_date
605296.SH,2024-12-16,11,-0.15721275210302205,-1.763485477178428,54.54545454545454,12.951409681401005,2.572898799313883,-3.890392422192146,2.125472114184819,中证畜牧,930707.CSI,2024-12-16,effective_date
002562.SZ,2024-12-16,11,-0.9153274607807284,-9.166666666666657,27.27272727272727,-47.00816218465662,4.375000000000018,-6.638115631691644,3.0116477861139432,中证畜牧,930707.CSI,2024-12-16,effective_date
300381.SZ,2024-12-16,11,-0.5561831980652443,-6.130268199233724,36.36363636363637,-28.9768333973371,6.41025641025641,-6.488549618320604,4.05488963183073,中证畜牧,930707.CSI,2024-12-16,effective_date
603739.SH,2024-12-16,11,-1.1391740043620622,-11.127063890882994,45.45454545454545,-11.73300372367586,2.114164904862581,-5.423987776928952,2.7069596486305016,中证畜牧,930707.CSI,2024-12-16,effective_date
