factor,date,quantile,ret
_root__momentum_factor,2025-09-19,Q2,0.016015028211833614
_root__momentum_factor,2025-09-19,Q3,0.012481733478991557
_root__momentum_factor,2025-09-19,Q4,0.024958499552875605
_root__momentum_factor,2025-09-19,Q5,0.06365156808942157
_root__momentum_factor,2025-09-22,Q1,0.0224055381391152
_root__momentum_factor,2025-09-22,Q2,0.017635502390871194
_root__momentum_factor,2025-09-22,Q3,0.02149247151022781
_root__momentum_factor,2025-09-22,Q4,0.03703869087091778
_root__momentum_factor,2025-09-22,Q5,0.061658633964725026
_root__momentum_factor,2025-09-23,Q1,0.03651547030417018
_root__momentum_factor,2025-09-23,Q2,0.02756581279661537
_root__momentum_factor,2025-09-23,Q3,0.029256384335719938
_root__momentum_factor,2025-09-23,Q4,0.04948950444616959
_root__momentum_factor,2025-09-23,Q5,0.07139896831210413
_root__momentum_factor,2025-09-24,Q1,0.033868686550657896
_root__momentum_factor,2025-09-24,Q2,0.02917161258818548
_root__momentum_factor,2025-09-24,Q3,0.03194969820572963
_root__momentum_factor,2025-09-24,Q4,0.06014310171412884
_root__momentum_factor,2025-09-24,Q5,0.08064272149852575
_root__momentum_factor,2025-09-25,Q1,0.03447271699609128
_root__momentum_factor,2025-09-25,Q2,0.03770438613661929
_root__momentum_factor,2025-09-25,Q3,0.028023136398327972
_root__momentum_factor,2025-09-25,Q4,0.047552554926151604
_root__momentum_factor,2025-09-25,Q5,0.07613611244266662
_root__momentum_factor,2025-09-26,Q1,0.04417460912778542
_root__momentum_factor,2025-09-26,Q2,0.03587901729853682
_root__momentum_factor,2025-09-26,Q3,0.03668468400178519
_root__momentum_factor,2025-09-26,Q4,0.05570110144710327
_root__momentum_factor,2025-09-26,Q5,0.09033704671657725
_root__momentum_factor,2025-09-29,Q1,0.037065269981996475
_root__momentum_factor,2025-09-29,Q2,0.02951828234373424
_root__momentum_factor,2025-09-29,Q3,0.028933579783788792
_root__momentum_factor,2025-09-29,Q4,0.04707310990646194
_root__momentum_factor,2025-09-29,Q5,0.06526115726802342
_root__momentum_factor,2025-09-30,Q1,0.042871520802315294
_root__momentum_factor,2025-09-30,Q2,0.022300898454613704
_root__momentum_factor,2025-09-30,Q3,0.032832942030659465
_root__momentum_factor,2025-09-30,Q4,0.039217418039044945
_root__momentum_factor,2025-09-30,Q5,0.04333573994544017
_root__momentum_factor,2025-10-09,Q1,0.03335991137018446
_root__momentum_factor,2025-10-09,Q2,0.01959553382107609
_root__momentum_factor,2025-10-09,Q3,0.010427224154565925
_root__momentum_factor,2025-10-09,Q4,0.008974801601276342
_root__momentum_factor,2025-10-09,Q5,-0.023303927442675346
_root__momentum_factor,2025-10-10,Q1,0.04008099198568601
_root__momentum_factor,2025-10-10,Q2,0.012920951077964593
_root__momentum_factor,2025-10-10,Q3,0.006327012093886886
_root__momentum_factor,2025-10-10,Q4,0.010581446393247448
_root__momentum_factor,2025-10-10,Q5,0.015547066560904172
_root__momentum_factor,2025-10-13,Q1,0.037101449668078976
_root__momentum_factor,2025-10-13,Q2,0.020153479369842586
_root__momentum_factor,2025-10-13,Q3,0.014225575112976075
_root__momentum_factor,2025-10-13,Q4,0.012168185438890429
_root__momentum_factor,2025-10-13,Q5,-0.00698628010477094
_root__momentum_factor,2025-10-14,Q1,0.027484095781251286
_root__momentum_factor,2025-10-14,Q2,0.017649001707381495
_root__momentum_factor,2025-10-14,Q3,0.027001485112270643
_root__momentum_factor,2025-10-14,Q4,0.023083673703656795
_root__momentum_factor,2025-10-14,Q5,0.031164944414249506
_root__momentum_factor,2025-10-15,Q1,0.0077738814352324055
_root__momentum_factor,2025-10-15,Q2,0.015109265059529534
_root__momentum_factor,2025-10-15,Q3,0.01111070546216828
_root__momentum_factor,2025-10-15,Q4,0.007607741717555549
_root__momentum_factor,2025-10-15,Q5,0.0043816843577682086
_root__momentum_factor,2025-10-16,Q1,0.009447380141718344
_root__momentum_factor,2025-10-16,Q2,0.006484816184058338
_root__momentum_factor,2025-10-16,Q3,0.0018938047997347238
_root__momentum_factor,2025-10-16,Q4,-0.000779346890882282
_root__momentum_factor,2025-10-16,Q5,-0.003889676712510448
_root__momentum_factor,2025-10-17,Q1,0.04119601721898149
_root__momentum_factor,2025-10-17,Q2,0.017854630857567475
_root__momentum_factor,2025-10-17,Q3,0.022804027416690645
_root__momentum_factor,2025-10-17,Q4,0.030263314828042048
_root__momentum_factor,2025-10-17,Q5,0.03795716222640151
_root__momentum_factor,2025-10-20,Q1,0.03823450977318863
_root__momentum_factor,2025-10-20,Q2,0.024843178137010157
_root__momentum_factor,2025-10-20,Q3,0.029850709601283797
_root__momentum_factor,2025-10-20,Q4,0.03422409261045629
_root__momentum_factor,2025-10-20,Q5,0.04585799600874053
_root__momentum_factor,2025-10-21,Q1,0.02040270221639885
_root__momentum_factor,2025-10-21,Q2,0.020995537497356623
_root__momentum_factor,2025-10-21,Q3,0.01880977025989664
_root__momentum_factor,2025-10-21,Q4,0.027377470532181883
_root__momentum_factor,2025-10-21,Q5,0.04049942972350005
_root__momentum_factor,2025-10-22,Q1,0.03770535087013676
_root__momentum_factor,2025-10-22,Q2,0.03545983704679065
_root__momentum_factor,2025-10-22,Q3,0.02985123069670277
_root__momentum_factor,2025-10-22,Q4,0.03737141905886587
_root__momentum_factor,2025-10-22,Q5,0.06994853610880637
_root__momentum_factor,2025-10-23,Q1,0.03774792274600382
_root__momentum_factor,2025-10-23,Q2,0.04020945503027185
_root__momentum_factor,2025-10-23,Q3,0.02408556152152248
_root__momentum_factor,2025-10-23,Q4,0.044724689642313055
_root__momentum_factor,2025-10-23,Q5,0.060308073376144626
_root__momentum_factor,2025-10-24,Q1,0.029168523733670508
_root__momentum_factor,2025-10-24,Q2,0.04005505657763709
_root__momentum_factor,2025-10-24,Q3,0.022072179333976035
_root__momentum_factor,2025-10-24,Q4,0.043335029876712915
_root__momentum_factor,2025-10-24,Q5,0.04649854620145519
_root__momentum_factor,2025-10-27,Q1,0.028438876087087613
_root__momentum_factor,2025-10-27,Q2,0.02425461883318122
_root__momentum_factor,2025-10-27,Q3,0.0168781090876877
_root__momentum_factor,2025-10-27,Q4,0.03373353297637374
_root__momentum_factor,2025-10-27,Q5,0.03121006268149711
_root__momentum_factor,2025-10-28,Q1,0.030437320062397844
_root__momentum_factor,2025-10-28,Q2,0.025414358899654124
_root__momentum_factor,2025-10-28,Q3,0.020090942682279785
_root__momentum_factor,2025-10-28,Q4,0.03289786727625787
_root__momentum_factor,2025-10-28,Q5,0.054377644016225836
_root__momentum_factor,2025-10-29,Q1,0.011301465081247247
_root__momentum_factor,2025-10-29,Q2,0.00938795004998969
_root__momentum_factor,2025-10-29,Q3,0.01306369423808363
_root__momentum_factor,2025-10-29,Q4,-0.00019097317983743183
_root__momentum_factor,2025-10-29,Q5,0.02842326974803274
_root__momentum_factor,2025-10-30,Q1,0.011029971432135485
_root__momentum_factor,2025-10-30,Q2,0.010359493325608376
_root__momentum_factor,2025-10-30,Q3,0.0066340796022798
_root__momentum_factor,2025-10-30,Q4,0.017361621996871485
_root__momentum_factor,2025-10-30,Q5,0.01768011054060512
_root__momentum_factor,2025-10-31,Q1,0.004284979655994368
_root__momentum_factor,2025-10-31,Q2,0.014404497564017515
_root__momentum_factor,2025-10-31,Q3,0.019051082676379
_root__momentum_factor,2025-10-31,Q4,0.024902185217022817
_root__momentum_factor,2025-10-31,Q5,0.057602597330404244
_root__momentum_factor,2025-11-03,Q1,0.015134116031284475
_root__momentum_factor,2025-11-03,Q2,0.013066124487915314
_root__momentum_factor,2025-11-03,Q3,0.01747945484377782
_root__momentum_factor,2025-11-03,Q4,0.030133105655110116
_root__momentum_factor,2025-11-03,Q5,0.04598889236329088
_root__momentum_factor,2025-11-04,Q1,0.02804722922201927
_root__momentum_factor,2025-11-04,Q2,0.028820881256477453
_root__momentum_factor,2025-11-04,Q3,0.029468183398554466
_root__momentum_factor,2025-11-04,Q4,0.036864690206455455
_root__momentum_factor,2025-11-04,Q5,0.04779253753564561
_root__momentum_factor,2025-11-05,Q1,0.03322119617165267
_root__momentum_factor,2025-11-05,Q2,0.026687694731260578
_root__momentum_factor,2025-11-05,Q3,0.03181613102026967
_root__momentum_factor,2025-11-05,Q4,0.03179037331309647
_root__momentum_factor,2025-11-05,Q5,0.041023229685215885
_root__momentum_factor,2025-11-06,Q1,0.009042037895911985
_root__momentum_factor,2025-11-06,Q2,0.01749820696613613
_root__momentum_factor,2025-11-06,Q3,0.025267260513558685
_root__momentum_factor,2025-11-06,Q4,0.0271067841834389
_root__momentum_factor,2025-11-06,Q5,0.02404461080342232
_root__momentum_factor,2025-11-07,Q1,0.01512181737135372
_root__momentum_factor,2025-11-07,Q2,0.01489395253760119
_root__momentum_factor,2025-11-07,Q3,0.01606246485970697
_root__momentum_factor,2025-11-07,Q4,0.014434813192453913
_root__momentum_factor,2025-11-07,Q5,0.02655254252345481
_root__momentum_factor,2025-11-10,Q1,0.00023426499838091847
_root__momentum_factor,2025-11-10,Q2,0.0026823765116298693
_root__momentum_factor,2025-11-10,Q3,0.0027979498651892493
_root__momentum_factor,2025-11-10,Q4,0.005742719481156963
_root__momentum_factor,2025-11-10,Q5,0.009552387601552016
_root__momentum_factor,2025-11-11,Q1,0.009142611314216391
_root__momentum_factor,2025-11-11,Q2,0.005050341828577694
_root__momentum_factor,2025-11-11,Q3,0.007532142173977778
_root__momentum_factor,2025-11-11,Q4,0.008477052950102428
_root__momentum_factor,2025-11-11,Q5,0.01353708603903283
_root__momentum_factor,2025-11-12,Q1,0.015172110293970673
_root__momentum_factor,2025-11-12,Q2,0.011993244160776862
_root__momentum_factor,2025-11-12,Q3,0.011038759470393936
_root__momentum_factor,2025-11-12,Q4,0.01261244517080863
_root__momentum_factor,2025-11-12,Q5,0.020209314826111806
_root__momentum_factor,2025-11-13,Q1,-0.005904832691981502
_root__momentum_factor,2025-11-13,Q2,-0.007729089278858923
_root__momentum_factor,2025-11-13,Q3,-0.001225297283976521
_root__momentum_factor,2025-11-13,Q4,-0.003238210711842752
_root__momentum_factor,2025-11-13,Q5,-0.0045856908309041804
_root__momentum_factor,2025-11-14,Q1,0.003985097186074509
_root__momentum_factor,2025-11-14,Q2,-7.719914223416335e-05
_root__momentum_factor,2025-11-14,Q3,0.000827115259539359
