factor,auto_label,usage,ic_future,ic_past_5d,ic_risk,ic_stability,monotonicity,top_bottom_spread,ic_future_vol,ic_future_drawdown,ic_past_1d,ic_past_3d,ic_past_10d,group
alpha191__alpha123,reversal,conditional_alpha,0.025958395305061728,-0.06422937858881882,-0.013156566998153516,0.6323529411764706,1.0,0.0038840497525865214,-0.007073016262158908,-0.019240117734148125,-0.04929175865302025,-0.08191103348084741,-0.07160975737407431,pullback
alpha191__alpha076,reversal,conditional_alpha,0.03100491413081684,-0.024287567898035604,0.02990517153954208,0.6089108910891089,0.75,0.011499122375772344,0.0454803815794468,0.014329961499637351,-0.018313843190958252,-0.025739880840539332,-0.005540960569830633,pullback
alpha191__alpha075,overheat_risk,risk_filter,-0.03002925921628092,0.036206677886834106,0.058234817310003996,0.6647398843930635,0.5,0.0010792789194224855,0.05027966740997372,0.06618996721003427,0.005658331655124119,0.02259852646739307,0.06919093744875274,risk
alpha191__alpha010,overheat_risk,risk_filter,-0.05567994076852637,0.1527820090724669,0.05004251571389089,0.7612612612612613,1.0,-0.03516248058794129,0.0338602693998515,0.06622476202793028,0.43762290017990485,0.21489439019207232,0.10521475132407566,risk
alpha191__alpha077,overheat_risk,risk_filter,-0.06376656746424224,0.05974050468607481,0.03609877407677339,0.8409090909090909,1.0,-0.017125005193576737,0.022762891495805983,0.04943465665774081,-0.008302960936545705,0.03941025662909992,0.014120792429973168,risk
alpha191__alpha153,negative_trend,risk_filter,-0.11841700817960411,-0.04833830048664649,0.01410430209970219,0.9849246231155779,0.75,-0.03464824839918593,-0.02334702053926096,0.05155562473866534,-0.03246568102146142,-0.04526415821299473,-0.04809423111608799,risk
alpha101__alpha017,negative_trend,risk_filter,-0.027101343154288183,-0.3747573457273178,0.005947400210541771,0.6291079812206573,1.0,-0.007399982380236203,-2.138776889671501e-05,0.011916188189980257,-0.4444245230546255,-0.26969494782628295,-0.28399446576389353,risk
alpha191__alpha091,negative_trend,risk_filter,-0.030863543738652015,-0.408112483536772,-0.003928955023188832,0.6703910614525139,0.5,-0.012893368285044116,-0.00771616245023719,-0.0001417475961404745,-0.4188167842619749,-0.49873653332303447,-0.23618536181169697,risk
alpha101__alpha005,negative_trend,risk_filter,-0.02644991175321291,-0.546265682269601,-0.007257077477758823,0.676056338028169,0.5,-0.011636384448575288,-0.002863713613065756,-0.011650441342451889,-0.3465408640098232,-0.4652911420256543,-0.46961927025891687,risk
alpha191__alpha086,negative_trend,risk_filter,-0.023058305775841975,-0.3522498983606089,-0.015232858544250955,0.6683168316831684,0.5,-0.019954781057940033,-0.018282202400454743,-0.012183514688047169,-0.13771071838900442,-0.25894139193481885,-0.3248843144367365,risk
alpha101__alpha063,overheat_risk,risk_filter,-0.07017631800660215,0.03212607764665184,-0.018087963358537143,0.8672985781990521,1.0,-0.01879311539821356,-0.04586546453462,0.009689537817545715,0.001003091430436789,-0.0014008155394521305,0.037507022542645575,risk
alpha191__alpha180,overheat_risk,risk_filter,-0.03882570146187208,0.2669398411012157,-0.036317795843226267,0.7243589743589743,0.75,-0.012764874207221638,-0.05842643891437197,-0.014209152772080567,0.15615241208268799,0.26431321186471607,0.21657836315302456,risk
alpha191__alpha165,overheat_risk,risk_filter,-0.027389075466594796,0.024523230275249632,-0.04578971346515566,0.691358024691358,0.75,-0.01419938628216108,-0.049361116540479935,-0.042218310389831384,0.0185979666275082,0.022487960844582953,0.006050849989805914,risk
alpha101__alpha035,negative_trend,risk_filter,-0.04371686934976319,-0.47317747720939907,-0.04732719851471957,0.7315789473684211,0.75,-0.017623497465541413,-0.06274497090267621,-0.03190942612676293,-0.36328540360108796,-0.5096107159039399,-0.37279200343492613,risk
alpha101__alpha011,overheat_risk,risk_filter,-0.020538088369337106,0.042868012536006764,-0.0497307199729415,0.6621004566210046,0.5,-0.006470486180503554,-0.05989626764786924,-0.03956517229801376,0.06305058581045186,0.19621820802183168,-0.07914724959220536,risk
alpha101__alpha002,negative_trend,risk_filter,-0.031339458840961724,-0.26076592422364947,-0.053426894760300034,0.7395348837209302,1.0,-0.011956023043412992,-0.06434496154319716,-0.04250882797740291,-0.09264587252169545,-0.18831448397056316,-0.2241347161905697,risk
alpha191__alpha037,negative_trend,risk_filter,-0.030092616708014202,-0.6006847452090786,-0.0573414547779945,0.6328502415458938,0.75,-0.01295683236807732,-0.05880031181336954,-0.055882597742619465,-0.17253159262473589,-0.4204603452863801,-0.4416961381742223,risk
alpha101__alpha046,negative_trend,risk_filter,-0.04203870675759452,-0.3925787472710376,-0.06195186372678759,0.7285067873303167,0.75,-0.0006691807916355819,-0.07893584137665498,-0.044967886076920205,-0.4768533685247539,-0.37608665662496715,-0.5051392018115164,risk
alpha191__alpha001,negative_trend,risk_filter,-0.023917260788306298,-0.30538956528165956,-0.06398421220163591,0.6805555555555556,1.0,-0.010234278479270664,-0.07003037788291515,-0.05793804652035669,-0.06389933764785283,-0.20941859621959844,-0.27462512863956584,risk
alpha191__alpha092,negative_trend,risk_filter,-0.060217558164891355,-0.4376250591266145,-0.06743864965224261,0.7692307692307693,0.75,-0.012719842360473702,-0.09121727665904138,-0.04366002264544384,-0.18826197709394893,-0.484415908493092,-0.2909390394442679,risk
alpha191__alpha006,negative_trend,risk_filter,-0.029098614396819485,-0.6513580879365976,-0.06956742230407408,0.6467889908256881,0.75,-0.01865066716923232,-0.07565220646212965,-0.0634826381460185,-0.03854198268755219,-0.423777068321592,-0.3957977547353534,risk
alpha101__alpha023,negative_trend,risk_filter,-0.02943410349897643,-0.36737586173987896,-0.07407068904622109,0.6600985221674877,0.5,-0.01090076900162236,-0.08624803368960059,-0.0618933444028416,-0.30961866968267027,-0.5344998660920478,-0.22089675971238207,risk
