stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type,window_dates
300115.SZ,2024-06-17,10,0.4300745299841443,3.5580524344569264,40.0,-11.448433612288078,6.1994609164420345,-3.4904013961605584,3.053933474804547,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688352.SH,2024-06-17,10,0.5225881652631651,4.545454545454541,50.0,-9.45141942838087,4.619565217391308,-3.765690376569042,2.4920727077714697,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688336.SH,2024-06-17,10,-0.6228176312305853,-5.745348477482636,30.0,-33.04601269090267,4.015322841187041,-5.57807120756525,2.690833454637882,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
300757.SZ,2024-06-17,10,1.1324695894157621,9.93568690856861,40.0,-9.758479485775739,9.473729798399045,-3.727793632884213,4.162475629564085,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
301371.SZ,2024-06-17,10,-0.8583535146462571,-7.668521954236251,40.0,-27.94796741094544,1.6980549552331192,-6.306871666143676,2.298294052659512,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
601187.SH,2024-06-17,10,-0.26855264052256184,-2.4390243902439046,40.0,-13.08272347280277,1.0309278350515427,-2.4390243902439046,1.1015773969517617,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
301487.SZ,2024-06-17,10,-1.2161557398469545,-10.691163604549436,30.0,-17.4334636200558,2.344706911636041,-5.795496493170916,2.673054416534384,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
002468.SZ,2024-06-17,10,-0.9820523563322094,-8.56860375700318,20.0,-23.9647906903777,1.1295606009262382,-2.575207772445287,1.36514013396118,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688147.SH,2024-06-17,10,-1.61731675159336,-13.934774786562432,40.0,-38.148375382679674,1.4719832521016718,-6.105942904638595,2.82083607409992,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
601083.SH,2024-06-17,10,-0.7124144676148734,-6.419371458011314,40.0,-30.46611516666563,2.023881805302574,-3.914515446466349,2.2197655666712293,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
688076.SH,2024-06-17,10,3.093750385651389,29.626485568760664,70.0,78.19451130501218,18.921601058551097,-2.577403144756052,6.460010116192099,中证1000,000852.SH,2024-06-17,effective_date,2024-06-10 to 2024-06-24
