stock_code,title,author,post_time,read_count,comment_count,post_link,page,crawl_time
601669,估计还有三个涨停，拿的久，估计明年应该能涨到18块,,03-13 04:32,582525,49350,"https://guba.eastmoney.com/news,601669,1679335490.html",3,2026-03-15 21:00:01
601669,明天大家反正不要便宜卖给韩国人，他们来抢我们的核心资产,,03-13 04:32,582525,311293,"https://guba.eastmoney.com/news,601669,1679336442.html",3,2026-03-15 21:00:01
601669,人气榜第一的位置可不好玩,兢兢业业之沈浪,03-15 06:31,582525,311293,"https://guba.eastmoney.com/news,601669,1679336577.html",3,2026-03-15 21:00:01
601669,海上经济龙头股之一电建，它有海水淡化和海上风电及港口建设。,C389596h881354大,03-15 06:50,451300,441354,"https://guba.eastmoney.com/news,601669,1679336273.html",3,2026-03-15 21:00:01
601669,10元的聚飞光电今年将爆发，对比520元的中际旭创，都是高速光模块，CPO股！,,03-15 06:31,311293,49350,"https://guba.eastmoney.com/news,601669,1679336238.html",3,2026-03-15 21:00:01
601669,宝新能源不是20连板了？,C389596h881354大,03-15 06:49,451300,441354,"https://guba.eastmoney.com/news,601669,1679333942.html",3,2026-03-15 21:00:01
601669,最新隔夜3亿2千万手,C389596h881354大,03-15 06:49,451300,441354,"https://guba.eastmoney.com/news,601669,1679329446.html",3,2026-03-15 21:00:01
601669,一日游，利好出货,C389596h881354大,03-15 06:49,451300,441354,"https://guba.eastmoney.com/news,601669,1679336044.html",3,2026-03-15 21:00:01
601669,机会多的去,C389596h881354大,03-15 06:48,451300,441354,"https://guba.eastmoney.com/news,601669,1679336036.html",3,2026-03-15 21:00:01
601669,$中国电建(SH601669)$,C389596h881354大,03-15 06:48,441354,426572,"https://guba.eastmoney.com/news,601669,1679335988.html",3,2026-03-15 21:00:01
601669,大A三建客，明日谁与争峰，拭目以待,C389596h881354婀,03-15 06:14,451300,426572,"https://guba.eastmoney.com/news,601669,1679332879.html",3,2026-03-15 21:00:01
601669,这玩意还有海上风电，明天估计难上车了，我想加仓的,C389596h881354大,03-15 06:45,451300,441354,"https://guba.eastmoney.com/news,601669,1679335890.html",3,2026-03-15 21:00:01
601669,放我进去,O58395L3571966明,03-15 05:59,441354,426572,"https://guba.eastmoney.com/news,601669,1679335175.html",3,2026-03-15 21:00:01
601669,中东那边还有很多重建工程,O58395L3571966明,03-15 05:59,513232,426572,"https://guba.eastmoney.com/news,601669,1679335575.html",3,2026-03-15 21:00:01
601669,中国电建是海洋经济唯一龙头，没有之一,O58395L3571966明,03-15 06:42,513232,426572,"https://guba.eastmoney.com/news,601669,1679329582.html",3,2026-03-15 21:00:01
601669,明天还能买进么后悔,O58395L3571966爱,03-15 12:01,513232,232968,"https://guba.eastmoney.com/news,601669,1679334499.html",3,2026-03-15 21:00:01
601669,不吹，隔夜3500万手,O58395L3571966明,03-15 12:01,513232,152261,"https://guba.eastmoney.com/news,601669,1679331826.html",3,2026-03-15 21:00:01
601669,明天开盘超大单封死涨停！,O58395L3571966明,03-15 05:10,513232,232968,"https://guba.eastmoney.com/news,601669,1679329950.html",3,2026-03-15 21:00:01
601669,豫能控股周五跌停，周末全网唱衰电算，电算协同主线退潮了吗？,36227G706D96252,03-15 11:16,201513,152261,"https://guba.eastmoney.com/news,601669,1679331364.html",3,2026-03-15 21:00:01
601669,是不是下周吃肉,36227G706D96252,03-15 05:15,513232,201513,"https://guba.eastmoney.com/news,601669,1679334971.html",3,2026-03-15 21:00:01
601669,亚盛集团正在办理采矿证。亚盛集团通过全资子公司甘肃亚盛鱼儿红矿业开发有限责任公司,36227G706D96252,03-15 05:15,513232,201513,"https://guba.eastmoney.com/news,601669,1679334333.html",3,2026-03-15 21:00:01
601669,中东的土豪来了。,36227G706D96252,03-15 06:30,201513,30801,"https://guba.eastmoney.com/news,601669,1679334541.html",3,2026-03-15 21:00:01
601669,也属于海洋经济,36227G706D96252,03-15 06:21,201513,31360,"https://guba.eastmoney.com/news,601669,1679334531.html",3,2026-03-15 21:00:01
601669,一个长期破净的票，我不相信一下子能翻身！会被量化来回收割，反复震荡,36227G706D1513好,03-14 09:31,324942,31360,"https://guba.eastmoney.com/news,601669,1679327782.html",3,2026-03-15 21:00:01
601669,下周大跌赶紧跑吧,36227G706D1513一,03-15 06:23,324942,201513,"https://guba.eastmoney.com/news,601669,1679333927.html",3,2026-03-15 21:00:01
601669,查了一下，2021/2022年俄乌战争油价高企时中国石化业绩好每股收益五毛多六毛,36227G706D1513一,03-15 06:20,324942,201513,"https://guba.eastmoney.com/news,601669,1679333951.html",3,2026-03-15 21:00:01
601669,海上风电呵呵，刚中标。买不到了,传说中凤雏,03-15 04:45,324942,201513,"https://guba.eastmoney.com/news,601669,1679333896.html",3,2026-03-15 21:00:01
601669,准备入100手，希望早上按涨停价能买到,下周关注这条消息别犹豫别后悔,03-15 04:45,592680,324942,"https://guba.eastmoney.com/news,601669,1679331156.html",3,2026-03-15 21:00:01
601669,下周盘前热点榜来了有人气有抱团低吸不要追高还要看有没有承接力度有承接有换手就有机,cha,03-15 06:15,592680,324942,"https://guba.eastmoney.com/news,601669,1679333228.html",3,2026-03-15 21:00:01
601669,快下来吧,changiiynm380,03-15 05:32,592680,422810,"https://guba.eastmoney.com/news,601669,1679333208.html",3,2026-03-15 21:00:01
601669,中南文化，重组评估+算电协同+海工装备+宇树科技，全是本周热门，谁更强呢？,changiiynm380,03-15 06:04,592680,545242,"https://guba.eastmoney.com/news,601669,1679332840.html",3,2026-03-15 21:00:01
601669,中国电建从3月2号看多，终于涨了，但是现在人气第一有点害怕，要不要卖在人声鼎沸时,changiiynm380,03-15 02:31,592680,545242,"https://guba.eastmoney.com/news,601669,1679331975.html",3,2026-03-15 21:00:01
601669,2元股3元股4元股::甘肃能化、ST新动力、吴通控股、宏远股份、山东矿机,changiiynm380,03-15 05:59,592680,545242,"https://guba.eastmoney.com/news,601669,1679247349.html",3,2026-03-15 21:00:01
601669,$中国电建(SH601669)$,C389596h881354大,03-15 06:48,441354,426572,"https://guba.eastmoney.com/news,601669,1679332488.html",3,2026-03-15 21:00:01
601669,伊朗已允许印度船只通过霍尔木兹海峡,changiiynm380,03-15 05:46,174104,49981,"https://guba.eastmoney.com/news,601669,1679301913.html",3,2026-03-15 21:00:01
601669,怎么那么多说隔夜单的，胡说八道的很,changiiynm380,03-14 12:23,545242,174104,"https://guba.eastmoney.com/news,601669,1679330767.html",3,2026-03-15 21:00:01
601669,黑子三种人想上车，没票水号，也是想上车看不得车上挣钱,05g85z858225846,03-15 09:49,214890,174104,"https://guba.eastmoney.com/news,601669,1679332015.html",3,2026-03-15 21:00:01
601669,你们有抄底嘛，底部埋伏，数月，一飞惊人，喜欢埋伏还是喜欢追高呢大家,问我为什么选股这么准,03-15 08:40,421702,214890,"https://guba.eastmoney.com/news,601669,1679275630.html",3,2026-03-15 21:00:01
601669,每个股票上涨的时候都说是龙头，前景上涨无限，之前的锋龙，利欧，神剑，等我一追进去,问我为什么选股这么准,03-15 05:46,431141,421702,"https://guba.eastmoney.com/news,601669,1679321847.html",3,2026-03-15 21:00:01
601669,$中国电建(SH601669)$,C389596h881354大,03-15 06:48,441354,426572,"https://guba.eastmoney.com/news,601669,1679331652.html",3,2026-03-15 21:00:01
601669,牛了牛了,3E9Y2002697040短,03-14 08:14,431141,421702,"https://guba.eastmoney.com/news,601669,1679331494.html",3,2026-03-15 21:00:01
