remove_time,reason,entry_id,level_index,buy_price,qty,buy_time,buy_date,buy_order_id,buy_trade_id,sell_order_id,sell_status,sell_price,sell_level
2026-04-01 13:23:47,1775020925100564_26,-55,1.021,100,1099017732,filled,1.022,-54,"  File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 627, in on_tick |     self._handle_level_event(current_level, grid_price, current_price) |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 303, in _handle_level_event |     self._sync_positions_with_broker() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 1415, in _sync_positions_with_broker |     self.pos_book.save_to_csv() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\position_book.py"", line 265, in save_to_csv |     self._check_and_log_removals(path) | "
2026-04-01 13:23:59,filled状态清理,1775021024103067_37,-55,1.021,100,2026-04-01 13:23:44,2026-04-01,1099017786,,1099017809,filled,1.022,-54
2026-04-01 13:23:59,1775021024103067_37,-55,1.021,100,1099017809,filled,1.022,-54,"  File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 627, in on_tick |     self._handle_level_event(current_level, grid_price, current_price) |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 303, in _handle_level_event |     self._sync_positions_with_broker() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 1415, in _sync_positions_with_broker |     self.pos_book.save_to_csv() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\position_book.py"", line 265, in save_to_csv |     self._check_and_log_removals(path) | "
2026-04-01 13:24:50,filled状态清理,1775021015114382_34,-60,1.016,100,2026-04-01 13:23:35,2026-04-01,1099017744,,1099018011,filled,1.017,-59
2026-04-01 13:24:50,filled状态清理,1775021015143864_35,-59,1.017,100,2026-04-01 13:23:35,2026-04-01,1099017745,,1099017987,filled,1.018,-58
2026-04-01 13:24:50,1775021015143864_35,-59,1.017,100,1099017987,filled,1.018,-58,"  File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 627, in on_tick |     self._handle_level_event(current_level, grid_price, current_price) |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 303, in _handle_level_event |     self._sync_positions_with_broker() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 1415, in _sync_positions_with_broker |     self.pos_book.save_to_csv() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\position_book.py"", line 265, in save_to_csv |     self._check_and_log_removals(path) | "
2026-04-01 13:24:50,1775021015114382_34,-60,1.016,100,1099018011,filled,1.017,-59,"  File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 627, in on_tick |     self._handle_level_event(current_level, grid_price, current_price) |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 303, in _handle_level_event |     self._sync_positions_with_broker() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 1415, in _sync_positions_with_broker |     self.pos_book.save_to_csv() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\position_book.py"", line 265, in save_to_csv |     self._check_and_log_removals(path) | "
2026-04-01 13:24:53,filled状态清理,1775021000117623_32,-58,1.018,100,2026-04-01 13:23:20,2026-04-01,1099017700,,1099017985,filled,1.019,-57
2026-04-01 13:24:53,1775021000117623_32,-58,1.018,100,1099017985,filled,1.019,-57,"  File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 627, in on_tick |     self._handle_level_event(current_level, grid_price, current_price) |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 303, in _handle_level_event |     self._sync_positions_with_broker() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\grid_strategy.py"", line 1415, in _sync_positions_with_broker |     self.pos_book.save_to_csv() |   File ""D:\pythonProject\数据源\src\网格\网格实盘新\position_book.py"", line 265, in save_to_csv |     self._check_and_log_removals(path) | "
2026-04-01 13:24:56,filled状态清理,1775021000147238_33,-57,1.019,100,2026-04-01 13:23:20,2026-04-01,1099017701,,1099017956,filled,1.02,-56
