date,G1,G2,G3,G4,G5
2025-10-27,985176.1426859454,1157031.5841487525,1219633.3666143224,1269032.027018113,1335462.8409986987
2025-10-28,985328.5248246022,1158177.68585323,1220550.4419419637,1269309.2073420258,1338643.1357998652
2025-10-29,992373.2010010276,1159175.2013493772,1220564.979463096,1266839.10235563,1333917.0566966569
2025-10-30,977656.1284716486,1144414.1983325593,1207784.3235648149,1255726.9186263946,1324254.8775772175
2025-10-31,986066.4989764597,1154040.970134063,1218621.4004431893,1268827.1230682367,1338891.3858840414
2025-11-03,998911.4081700512,1165154.8384022259,1232131.0211584882,1282444.045792313,1351639.8355757806
2025-11-04,1000391.6626407998,1159688.5288382,1229697.1552192902,1285778.3867534194,1350786.4391055044
2025-11-05,1012057.6620952379,1174613.7292212704,1240964.4179440127,1297031.069624764,1360370.6389638467
2025-11-06,1010025.8542187853,1175864.1917003298,1241710.4509757084,1301518.2240107488,1361741.5674304008
2025-11-07,1010381.1160100762,1178686.9835997578,1242942.012396581,1306483.88253817,1365639.4939334712
2025-11-10,1021661.7527014498,1188621.521981863,1256329.7897158319,1321415.4171178066,1380017.6873505993
2025-11-11,1028216.7270278368,1192043.9396303273,1263776.210592553,1327658.3173178,1386416.609216002
2025-11-12,1020694.6878857666,1184901.8302784031,1260530.604955706,1323360.1213739417,1385270.0736193822
2025-11-13,1034361.9881658308,1199897.1438819964,1273132.4265955694,1332682.8257933606,1393888.486709232
2025-11-14,1034630.7057271646,1195816.321336677,1269672.7307932146,1330584.6108388284,1396958.1184662038
2025-11-17,1043230.1219019472,1196876.7387782044,1275350.653847567,1331372.1505256474,1396796.903644886
2025-11-18,1014768.4091558398,1174766.8540564922,1258074.9567937234,1319601.277036491,1387543.9109832423
2025-11-19,993061.8297654701,1160868.6002855669,1243565.1824211439,1307113.4656725174,1374380.5283394905
2025-11-20,982910.5968806556,1154152.6610652485,1234898.5653459611,1301438.9959326354,1367105.8611095098
2025-11-21,941134.2703388802,1109316.3990174301,1185115.3696501984,1258369.767897203,1324935.8622448633
2025-11-24,948406.9687312171,1120525.1965778002,1196855.883966928,1273229.070971044,1339713.5413048547
2025-11-25,966711.233138748,1135522.3020799535,1209579.23314006,1283676.5068231265,1350080.2485138588
2025-11-26,966791.4868794611,1139163.0742882018,1205696.1438160166,1279396.3030737517,1344292.9654459953
2025-11-27,963714.7562558671,1138171.5917885583,1210702.1565145918,1280275.3615671,1347783.7530363942
2025-11-28,980307.2899493362,1151079.5647726853,1225213.3180166197,1293958.9901854882,1357530.778706854
2025-12-01,987413.9000325984,1156994.0744448965,1234789.68327346,1301966.3315051598,1366445.6129828696
2025-12-02,990123.741259931,1156110.7396093572,1235000.4247082302,1301794.204864038,1362581.4360696122
2025-12-03,983593.720558277,1151072.8738011867,1230711.9546311272,1299070.704968381,1359649.0261473907
2025-12-04,969136.2292541303,1140805.3645285459,1223392.0068176948,1286901.7035934853,1346491.0196008973
2025-12-05,989432.1546604113,1157143.5012021556,1235589.083918847,1299003.1603722777,1357932.2494418982
2025-12-08,1001727.7028953208,1162664.8327133153,1238392.628923642,1303217.589699699,1359623.0391556344
2025-12-09,993568.9874518397,1153763.866306676,1230945.3878096768,1299195.7210186508,1349621.2411600533
2025-12-10,1000300.6985253808,1156267.253042675,1234585.148296518,1299336.8502796134,1350989.3952180813
2025-12-11,976457.285324165,1135573.0010347175,1216606.6528764504,1277772.3233866123,1330652.0715817262
2025-12-12,975916.9987196027,1138094.9669588902,1216453.7161900084,1275140.8504534317,1327953.5229303106
2025-12-15,982323.368115447,1142874.5418469394,1218346.9606908588,1281011.760058922,1327769.6596307894
2025-12-16,958025.107519007,1125939.1195566508,1201592.4799628698,1268115.6586482648,1314608.8731765402
2025-12-17,955274.2485820815,1129869.417921052,1207913.6683653821,1273543.735966547,1318292.506085307
