factor,ic_mean,ic_std,ic_ir,rank_ic_mean,rank_ic_std,rank_ic_ir,ic_win_rate
alpha101__alpha077,0.020937036661488242,0.13471244762971293,0.15542020822781227,0.01656956783644688,0.15569817098235733,0.10642108209687597,0.512396694214876
alpha101__alpha072,0.017495568030571444,0.13895933895867774,0.12590422609720453,0.015503102565758877,0.15651947194700916,0.0990490344294515,0.4903581267217631
alpha101__alpha009,-0.022153317528767917,0.14196724787757795,-0.15604527001799245,-0.015807284492477914,0.16727244536564342,-0.09450022959803407,0.43526170798898073
alpha101__alpha048,-0.006878218458291367,0.10453794546430509,-0.06579638070885908,-0.009121777307794524,0.09819560852288212,-0.0928939434767993,0.1349862258953168
alpha101__alpha092,0.016078364919546072,0.13922876913925825,0.11548162796342977,0.013622531905569208,0.1568564694628491,0.08684711540569041,0.4903581267217631
alpha101__alpha043,-0.019701365507161207,0.12080247149783489,-0.1630874373916622,-0.010981694952491086,0.13633016048039784,-0.08055220439698729,0.349862258953168
alpha101__alpha055,0.0013049098035285136,0.1482834170683013,0.008800106103081337,-0.012001143152102834,0.1663992021598944,-0.07212260032695851,0.44077134986225897
alpha101__alpha067,0.013878856322897147,0.13852766746505962,0.10018833477000372,0.01021006204451246,0.1546703157053536,0.06601177477365852,0.4793388429752066
alpha101__alpha025,-0.017244063704866582,0.17417048227653692,-0.09900680918760703,-0.012556473542812596,0.19035557201977446,-0.06596325712760437,0.40771349862258954
alpha101__alpha022,-0.0045487701613270105,0.09772765901172357,-0.04654537116029079,-0.006612403105061162,0.1075223296689279,-0.06149795233623954,0.42424242424242425
alpha101__alpha087,0.01308893893805406,0.1383562630508329,0.09460315456225575,0.009352260821927697,0.15457412290661,0.06050340539585731,0.48484848484848486
alpha101__alpha062,0.012632801871639062,0.14441301705694148,0.08747689182795758,0.009377399653693094,0.16177658641276924,0.05796512252871299,0.4903581267217631
alpha101__alpha082,0.012101582752090986,0.14491416747984365,0.08350862419144917,0.008495148041461105,0.1620491202955857,0.052423290086151215,0.4931129476584022
alpha101__alpha075,0.005272863586439097,0.14922875603312333,0.03533409864563043,-0.007316603879108572,0.1667186545337334,-0.04388593405801598,0.4628099173553719
alpha101__alpha036,-0.0027156557680803497,0.10982788928764486,-0.024726467800613997,0.005725768340962641,0.13089987294311808,0.043741588224846834,0.209366391184573
alpha101__alpha065,0.000505793904354841,0.13394779094303882,0.003776052600747476,-0.005615346800708421,0.14909544128644867,-0.03766276656252669,0.5041322314049587
alpha101__alpha011,0.004630366858270425,0.10274898972485243,0.04506484074120735,-0.003243502819652535,0.10770061379862926,-0.03011591768378405,0.465564738292011
alpha101__alpha095,0.00881727937947285,0.1500926949749728,0.05874555974188542,-0.0032582885963576918,0.1670902943637632,-0.019500166713838262,0.48484848484848486
alpha101__alpha085,0.007280802170448773,0.1328257444108841,0.054814691253875364,0.0019344686353169435,0.14813093395435326,0.013059180710445345,0.512396694214876
alpha101__alpha005,-0.029483426670854906,0.149376367405218,-0.19737678176946344,0.0019356927289920097,0.16084647159439616,0.012034412131048876,0.3746556473829201
alpha101__alpha027,,,0.0,,,0.0,0.0
alpha101__alpha049,,,0.0,,,0.0,0.0
