generation,factor,expr_key,operation,parents,mutation_op,first_generation,fitness,rank_ic_mean,rank_ic_ir,depth,complexity,survived
3,ga_g003_0009,ts_std[10](rank(returns)),random_init,,,3,1.0099175363868738,0.12360802731883971,1.5455480002060895,3,3,False
3,ga_g003_0028,ts_min[3](abs(scale(open))),crossover,ts_min[3](vwap)|abs(scale(open)),,2,0.9669255946042433,-0.1236111699707432,-1.945551685260875,4,4,False
3,ga_g003_0038,"add(low,ts_min[30](low))",random_inject,,,3,0.9632108522015131,-0.13275869200930682,-2.0376897852615463,3,4,False
3,ga_g003_0021,"ts_min[20](ts_std[20](correlation[3](open,open)))",crossover,"ts_min[20](open)|ts_std[20](correlation[3](open,open))",,3,0.9080019236135859,-0.1718044520077091,-1.6083208008714245,4,5,False
3,ga_g003_0017,"abs(sub(returns,open))",crossover,"abs(scale(high))|sub(returns,open)",,3,0.8852649347138103,-0.12034824216791487,-1.8688295370238537,3,4,False
3,ga_g003_0023,"abs(scale(sub(returns,open)))",crossover,"abs(scale(high))|sub(returns,open)",,3,0.8826348742962089,-0.12034824216791487,-1.8688295370238537,4,5,False
3,ga_g003_0030,rank(abs(scale(open))),crossover,rank(open)|abs(scale(open)),,3,0.8807787071559287,-0.1194947887780222,-1.8545462801480446,4,4,False
3,ga_g003_0019,"ts_std[20](correlation[3](open,open))",crossover,"ts_std[20](correlation[3](demean(low),open))|open",,1,0.8762202874828369,-0.13344576696733873,-1.6177743620771647,3,4,False
3,ga_g003_0042,"min(covariance[20](returns,log_abs(amount)),correlation[60](amount,close))",random_inject,,,3,0.8750267186883266,0.12058289968350905,1.4541775976559272,4,8,False
3,ga_g003_0013,vwap,random_init,,,3,0.8657920829450801,-0.11784377028777354,-1.8128440134174262,1,1,False
3,ga_g003_0031,"ts_std[20](ts_std[20](correlation[3](open,open)))",crossover,"ts_std[20](correlation[3](open,open))|ts_std[20](correlation[3](open,open))",,2,0.8637957373922633,-0.10091819701978372,-1.6713057712503145,4,5,False
3,ga_g003_0027,close,random_init,,,3,0.863611451082314,-0.1176817686714828,-1.805546477401925,1,1,False
3,ga_g003_0044,"sub(high,returns)",random_inject,,,3,0.8472115372244129,-0.11562984357031443,-1.7776704523381783,2,3,False
3,ga_g003_0005,high,random_init,,,3,0.8453371481375004,-0.11477891947661212,-1.7627850898831834,1,1,False
3,ga_g003_0012,abs(scale(high)),crossover+mutate,abs(scale(open))|vwap,abs,2,0.8413371481375005,-0.11477891947661212,-1.7627850898831834,3,3,False
3,ga_g003_0018,ts_min[3](sign(zscore_cs(close))),crossover,ts_min[3](close)|sign(zscore_cs(close)),,3,0.7705877773862364,-0.08251919276857142,-1.512857770830894,4,4,False
3,ga_g003_0026,sign(zscore_cs(close)),mutate,"sub(returns,open)",sign,2,0.7325061102895468,-0.07861430923883057,-1.40886335459188,3,3,False
3,ga_g003_0007,"covariance[60](log_abs(scale(vwap)),close)",crossover,"covariance[60](log_abs(scale(amount)),close)|vwap",,2,0.7278942463652481,0.11529075938210845,1.0198700640706606,4,5,False
3,ga_g003_0014,"covariance[20](zscore_cs(low),low)",random_inject,,,2,0.6275445019827126,0.09173284114377442,0.8838996583086223,3,4,False
3,ga_g003_0022,"zscore_cs(covariance[30](amount,close))",crossover,"zscore_cs(returns)|covariance[30](amount,close)",,1,0.615603494477858,0.08011062481964144,0.7837273806487021,3,4,False
3,ga_g003_0037,amount,random_init,,,3,0.5400610781918433,0.0709708021485389,0.643295252632197,1,1,False
3,ga_g003_0020,scale(amount),mutate,abs(scale(open)),scale,3,0.5380610781918433,0.0709708021485389,0.643295252632197,2,2,False
3,ga_g003_0008,"covariance[60](log_abs(scale(amount)),high)",mutate,"covariance[60](log_abs(scale(amount)),close)",covariance,3,0.5294505102510874,0.05735692280483976,0.6849292584632358,4,5,False
3,ga_g003_0006,"ts_std[3](scale(add(returns,low)))",crossover+mutate,ts_min[3](vwap)|ts_min[3](abs(scale(open))),ts_std,3,0.42680469003930566,0.031597135979752146,0.3925364594204791,4,5,False
3,ga_g003_0040,ts_min[20](amount),random_inject,,,3,0.3548702542928103,0.051638773493335385,0.47865072210371146,2,2,False
3,ga_g003_0034,"add(log_abs(-0.5),ts_rank[60](delay[60](high)))",random_inject,,,3,0.32771297677695416,0.033893519105220364,0.48202767961572335,4,6,False
3,ga_g003_0024,sign(zscore_cs(returns)),crossover+mutate,sign(zscore_cs(close))|vwap,sign,3,0.2614276341641376,0.02364681289900229,0.18009032208550396,3,3,False
3,ga_g003_0047,returns,random_init,,,3,0.252870544659007,0.0244814264444767,0.17916600083602452,1,1,False
4,ga_g004_0033,"delay[5](delay[3](sub(returns,vwap)))",crossover,"delay[5](delay[3](vwap))|sub(returns,vwap)",,4,1.2219084205527277,0.12612651892587531,2.1174794961452856,4,5,False
4,ga_g004_0000,"sub(returns,low)",mutate,"sub(returns,open)",sub,3,1.140622622757886,0.12255795839228117,1.8955744149627283,2,3,False
4,ga_g004_0001,ts_std[20](returns),crossover,"ts_std[20](correlation[3](demean(open),open))|returns",,2,1.1351122824158533,0.21079385132562964,1.6466751140639904,2,2,False
4,ga_g004_0009,abs(scale(ts_std[20](returns))),crossover,abs(scale(high))|ts_std[20](returns),,4,1.1311122824158533,0.21079385132562964,1.6466751140639904,4,4,False
4,ga_g004_0017,"ts_min[3](sub(returns,low))",crossover,"ts_min[3](abs(scale(open)))|sub(returns,low)",,4,1.1263068857563785,0.11996101831546196,1.8780901441824287,3,4,False
4,ga_g004_0002,"sub(zscore_cs(covariance[30](amount,close)),open)",crossover,"sub(returns,open)|zscore_cs(covariance[30](amount,close))",,2,1.116207490323453,0.1489775080290814,1.9645264749665217,4,6,False
4,ga_g004_0003,"sub(returns,open)",random_inject,,,1,1.0764647851541473,0.12034824216791487,1.8688295370238537,2,3,False
4,ga_g004_0049,ts_min[30](high),random_inject,,,4,1.0695359554772899,-0.14324018279982795,-2.281956280967419,2,2,False
4,ga_g004_0004,"sub(returns,vwap)",crossover,"sub(returns,open)|vwap",,3,1.0576534018656,0.11871163394356882,1.8295568182240702,2,3,False
4,ga_g004_0024,ts_min[20](open),random_init,,,4,1.0453063176658728,-0.13916267742658353,-2.2315796269448636,2,2,False
4,ga_g004_0023,rank(abs(ts_min[20](open))),crossover,rank(abs(scale(open)))|ts_min[20](open),,4,1.045285833237527,-0.13919710418000944,-2.232636885335933,4,4,False
4,ga_g004_0020,"sub(returns,sub(high,returns))",crossover,"sub(returns,open)|sub(high,returns)",,4,1.038364601484166,0.11651934298435834,1.7968466242721997,3,5,False
4,ga_g004_0012,delay[5](delay[3](vwap)),crossover+mutate,ts_std[10](rank(returns))|ts_rank[3](log_abs(low)),delay,1,1.0307756701084898,-0.12611791351457824,-2.104897472490801,3,3,False
4,ga_g004_0031,ts_std[10](rank(returns)),random_init,,,4,1.0125080711136514,0.12360802731883971,1.5455480002060895,3,3,False
4,ga_g004_0040,ts_min[3](abs(scale(open))),crossover,ts_min[3](vwap)|abs(scale(open)),,2,0.9623747898972077,-0.1236111699707432,-1.945551685260875,4,4,False
4,ga_g004_0027,"add(low,ts_min[30](low))",random_inject,,,3,0.9582452709760314,-0.13275869200930682,-2.0376897852615463,3,4,False
4,ga_g004_0016,ts_min[20](ts_max[10](volume)),crossover,"ts_min[20](ts_std[20](correlation[3](open,open)))|ts_max[10](volume)",,4,0.9501016045706089,0.15416522092122426,1.3751753838961036,3,3,False
4,ga_g004_0041,"add(low,ts_min[30](volume))",crossover,"add(low,ts_min[30](low))|volume",,4,0.911779738208122,0.1443211417083481,1.3261309525310425,3,4,False
4,ga_g004_0014,"ts_min[20](ts_std[20](correlation[3](open,open)))",crossover,"ts_min[20](open)|ts_std[20](correlation[3](open,open))",,3,0.9089234803199174,-0.1718044520077091,-1.6083208008714245,4,5,False
4,ga_g004_0025,"abs(sub(returns,open))",crossover,"abs(scale(high))|sub(returns,open)",,3,0.8807710914604536,-0.12034824216791487,-1.8688295370238537,3,4,False
4,ga_g004_0029,ts_min[3](abs(scale(high))),crossover,ts_min[3](sign(zscore_cs(close)))|abs(scale(high)),,4,0.8782515766389216,-0.1195050801062669,-1.8660526111533016,4,4,False
4,ga_g004_0008,"abs(scale(sub(returns,open)))",crossover,"abs(scale(high))|sub(returns,open)",,3,0.8782027060923194,-0.12034824216791487,-1.8688295370238537,4,5,False
4,ga_g004_0022,"ts_std[20](correlation[3](open,open))",crossover,"ts_std[20](correlation[3](demean(low),open))|open",,1,0.8770942801291104,-0.13344576696733873,-1.6177743620771647,3,4,False
4,ga_g004_0018,rank(abs(scale(open))),crossover,rank(open)|abs(scale(open)),,3,0.8770704213470422,-0.1194947887780222,-1.8545462801480446,4,4,False
4,ga_g004_0005,"min(covariance[20](returns,log_abs(amount)),correlation[60](amount,close))",random_inject,,,3,0.876873180359026,0.12058289968350905,1.4541775976559272,4,8,False
4,ga_g004_0034,"ts_std[20](ts_std[20](correlation[3](open,open)))",crossover,"ts_std[20](correlation[3](open,open))|ts_std[20](correlation[3](open,open))",,2,0.8644262227577266,-0.10091819701978372,-1.6713057712503145,4,5,False
4,ga_g004_0043,close,random_init,,,4,0.8597225852756217,-0.1176817686714828,-1.805546477401925,1,1,False
4,ga_g004_0019,abs(scale(close)),crossover,abs(scale(high))|close,,4,0.8557225852756217,-0.1176817686714828,-1.805546477401925,3,3,False
4,ga_g004_0006,high,random_init,,,4,0.8409262221134632,-0.11477891947661212,-1.7627850898831834,1,1,False
4,ga_g004_0035,ts_min[3](sign(zscore_cs(close))),crossover,ts_min[3](close)|sign(zscore_cs(close)),,3,0.7675066613729891,-0.08251919276857142,-1.512857770830894,4,4,False
4,ga_g004_0038,ts_rank[20](close),mutate,"abs(sub(returns,open))",ts_rank,4,0.6373089272548921,0.07353719834555356,0.7696743623321592,2,2,False
4,ga_g004_0042,"sub(high,vwap)",crossover,"sub(high,returns)|vwap",,4,0.3454489960611935,0.03178788020619497,0.34490843716713954,2,3,False
4,ga_g004_0039,ts_std[10](rank(amount)),crossover+mutate,"ts_std[20](ts_std[20](correlation[3](open,open)))|ts_std[10](rank(returns))",ts_std,4,0.15566033718666294,-0.003612358232066284,-0.05852656998326991,3,3,False
5,ga_g005_0000,"delay[5](delay[3](sub(returns,vwap)))",crossover,"delay[5](delay[3](vwap))|sub(returns,vwap)",,4,1.2233088923884834,0.12612651892587531,2.1174794961452856,4,5,False
5,ga_g005_0001,"sub(returns,low)",mutate,"sub(returns,open)",sub,3,1.142080331215695,0.12255795839228117,1.8955744149627283,2,3,False
5,ga_g005_0002,ts_std[20](returns),crossover,"ts_std[20](correlation[3](demean(open),open))|returns",,2,1.1316938890512178,0.21079385132562964,1.6466751140639904,2,2,False
5,ga_g005_0004,"ts_min[3](sub(returns,low))",crossover,"ts_min[3](abs(scale(open)))|sub(returns,low)",,4,1.1277286140936558,0.11996101831546196,1.8780901441824287,3,4,False
5,ga_g005_0003,abs(scale(ts_std[20](returns))),crossover,abs(scale(high))|ts_std[20](returns),,4,1.1276938890512178,0.21079385132562964,1.6466751140639904,4,4,False
5,ga_g005_0006,"sub(returns,open)",random_inject,,,1,1.0773180577335437,0.12034824216791487,1.8688295370238537,2,3,False
5,ga_g005_0035,"ts_min[3](sub(sub(returns,open),low))",crossover,"ts_min[3](sub(returns,low))|sub(returns,open)",,5,1.0637179441977145,0.11877056354498515,1.8583481996353124,4,6,False
5,ga_g005_0030,rank(abs(ts_min[20](open))),crossover,rank(abs(scale(open)))|ts_min[20](open),,4,1.0468566708835736,-0.13919710418000944,-2.232636885335933,4,4,False
5,ga_g005_0017,ts_min[20](open),random_init,,,5,1.046746721347473,-0.13916267742658353,-2.2315796269448636,2,2,False
5,ga_g005_0044,volume,random_init,,,5,1.0411934624778654,0.15111908586663125,1.5141118841736263,1,1,False
5,ga_g005_0021,delay[5](ts_std[20](returns)),crossover,delay[5](delay[3](vwap))|ts_std[20](returns),,5,1.0406448367666143,0.19890793240683474,1.4802408524948878,3,3,False
5,ga_g005_0041,"sub(returns,sub(high,returns))",crossover,"sub(returns,open)|sub(high,returns)",,4,1.0397502845629676,0.11651934298435834,1.7968466242721997,3,5,False
5,ga_g005_0013,ts_std[10](rank(returns)),random_init,,,5,1.0101088942995042,0.12360802731883971,1.5455480002060895,3,3,False
5,ga_g005_0025,ts_min[3](abs(scale(open))),crossover,ts_min[3](vwap)|abs(scale(open)),,2,0.9638394428345409,-0.1236111699707432,-1.945551685260875,4,4,False
5,ga_g005_0037,"add(low,ts_min[30](low))",random_inject,,,3,0.9596568193801152,-0.13275869200930682,-2.0376897852615463,3,4,False
